Detector,X,Y,sep,Effort
NE_822,430255.0197,5370209.693,/,1
NE_823,431253.2122,5370165.004,/,1
NE_835,443231.4279,5369629.172,/,1
NE_836,444229.6055,5369584.554,/,1
NE_838,446225.9582,5369495.334,/,1
NE_839,447224.1333,5369450.733,/,1
NE_840,448222.3074,5369406.137,/,1
NE_841,449220.4807,5369361.545,/,1
NE_866,474174.6112,5368248.498,/,1
NE_892,429212.1308,5369256.189,/,1
NE_893,430210.3299,5369211.497,/,1
NE_907,444184.991,5368586.374,/,1
NE_908,445183.1731,5368541.763,/,1
NE_909,446181.3543,5368497.157,/,1
NE_912,449175.8927,5368363.37,/,1
NE_937,474130.1556,5367250.336,/,1
NE_961,430165.6413,5368213.296,/,1
NE_962,431163.8446,5368168.611,/,1
NE_963,432162.0463,5368123.931,/,1
NE_1005,474085.7002,5366252.168,/,1
NE_1006,475083.8708,5366207.715,/,1
NE_1024,423133.457,5367528.026,/,2
NE_1025,424131.6751,5367483.305,/,1
NE_1030,429122.7442,5367259.779,/,1
NE_1031,430120.9542,5367215.09,/,1
NE_1032,431119.1624,5367170.406,/,1
NE_1076,475039.4207,5365209.542,/,1
NE_1093,423088.7339,5366529.805,/,4
NE_1094,424086.9573,5366485.085,/,5
NE_1100,430076.2683,5366216.878,/,1
NE_1101,431074.4819,5366172.195,/,1
NE_1161,423044.0122,5365531.578,/,4
NE_1162,424042.241,5365486.86,/,3
NE_1167,429033.3634,5365263.347,/,1
NE_1168,430031.5836,5365218.661,/,1
NE_1236,429986.9002,5364220.438,/,1
NE_1311,436929.7987,5362909.57,/,2
NE_1312,437928.0198,5362864.927,/,2
NE_1313,438926.2396,5362820.291,/,2
NE_1314,439924.4583,5362775.659,/,2
NE_1316,441920.8928,5362686.41,/,1
NE_1317,442919.1085,5362641.795,/,1
NE_1333,458890.441,5361928.638,/,3
NE_1334,459888.6432,5361884.11,/,3
NE_1371,428899.3016,5362268.66,/,2
